image,phrase1,phrase2,original_phrase1,original_phrase2,ytrue,roi1,roi2,preprocessed_phrase1,preprocessed_phrase2,original_label,type_label
2521048583,people,group+people,people,A group of people,True,126,126,people,group people,Entailment1,1
170704395,toddler,baby,a toddler,baby,True,-1,-1,toddler,baby,Alternation,0
170704395,toddler,child,a toddler,a child,True,-1,150,toddler,child,Alternation,0
170704395,toddler,child,a toddler,child,True,-1,150,toddler,child,Alternation,0
170704395,baby,child,baby,a child,True,-1,150,baby,child,Alternation,0
170704395,baby,child,baby,child,True,-1,150,baby,child,Alternation,0
170704395,child,baby,a child,baby,True,150,-1,child,baby,Alternation,0
170704395,child,baby,child,baby,True,150,-1,child,baby,Alternation,0
241346471,three+players,group+players,three players,group of other players,True,145,145,three players,group other players,Entailment1,1
5687835083,musician,conductor,a musician,A conductor,True,5,5,musician,conductor,Entailment1,1
8159651473,street,closed-off+street,a street,a closed-off street,True,54,54,street,closed-off street,Entailment1,1
5684881640,elder+man,older+man,An elder man,An older man,True,153,153,elder man,older man,Equivalence,3
3119903318,man,wrestler,A man,A wrestler,True,-1,-1,man,wrestler,Independence,4
2701895972,musicians,band,musicians,A band,True,69,69,musicians,band,Independence,4
2701895972,stage,outdoor+stage,a stage,an outdoor stage,True,138,-1,stage,outdoor stage,Entailment1,1
2701895972,musicians,band,musicians,Band,True,69,69,musicians,band,Independence,4
2701895972,outdoor+stage,stage,an outdoor stage,stage,True,-1,138,outdoor stage,stage,Entailment1,1
3821187649,small+child+'s+shirt,baby+'s+dress+shirt,a small child 's shirt,a baby 's dress shirt,True,26,26,small child 's shirt,baby 's dress shirt,Alternation,0
2975073156,boy,another+boy,one boy,another boy,True,198,198,one boy,another boy,Alternation,0
3221769307,group+people,large+group+women,A group of people,A large group of women,True,19,19,group people,large group women,Entailment1,1
3221769307,large+group+women,group+people,A large group of women,A group of people,True,19,19,large group women,group people,Entailment1,1
207822513,jean+shorts,blue+jeans+shorts,jean shorts,blue jeans shorts,True,199,199,jean shorts,blue jeans shorts,Entailment1,1
3613585080,blue+robe,native+garb,blue robe,native garb,True,162,162,blue robe,native garb,Independence,4
4829028377,three+people,several+asian+women,Three people,Several asian women,True,122,122,three people,several asian women,Independence,4
4499880603,crowd+people,crowd,A crowd of people,A crowd,True,28,28,crowd people,crowd,Equivalence,3
2314377503,man,old+man,A man,An old man,True,195,195,man,old man,Entailment1,1
2314377503,man,old+man,A man,Old man,True,195,195,man,old man,Entailment1,1
4783263491,women,woman,Women,A woman,True,154,154,women,woman,Equivalence,3
7810644900,street,middle+street,a street,the middle of the street,True,75,75,street,middle street,Entailment1,1
4960260408,runner,man,A runner,A man,True,172,172,runner,man,Independence,4
2355339096,female,woman,A female,a woman,True,-1,-1,female,woman,Entailment1,1
2355339096,female,woman,A female,A woman,True,-1,-1,female,woman,Entailment1,1
4783872965,white+man,boy,A white man,A boy,True,169,169,white man,boy,Alternation,0
4783872965,white+man,fat+kid,A white man,A fat kid,True,169,169,white man,fat kid,Alternation,0
299178969,"blond+,+smiling+boy",boy,"Blond , smiling boy",A boy,True,49,49,"blond , smiling boy",boy,Entailment1,1
299178969,little+boy,boy,Little boy,A boy,True,49,49,little boy,boy,Entailment1,1
5171456489,landscape,calm+street+corner,the landscape,A calm street corner,True,29,29,landscape,calm street corner,Entailment1,1
5171456489,man,old+man,The man,The old man,True,118,-1,man,old man,Entailment1,1
5171456489,man,old+man,a man,The old man,True,118,-1,man,old man,Entailment1,1
5171456489,old+man,man,The old man,A man,True,-1,118,old man,man,Entailment1,1
3356520287,children,group+children,Children,A group of children,True,24,24,children,group children,Entailment1,1
3356520287,children,kids,Children,Kids,True,24,24,children,kids,Equivalence,3
3356520287,group+children,children,A group of children,Children,True,24,24,group children,children,Entailment1,1
3356520287,kids,children,Kids,Children,True,24,24,kids,children,Equivalence,3
6237869128,woman,another+female,A woman,another female,True,18,-1,woman,another female,Independence,4
6237869128,another+woman,girl,another woman,A girl,True,18,18,another woman,girl,Alternation,0
6237869128,woman,female,A woman,A female,True,18,-1,woman,female,Entailment1,1
6237869128,woman,girl,A woman,A girl,True,18,18,woman,girl,Alternation,0
6237869128,brown+high-heeled+boots,cowboy+boots,brown high-heeled boots,cowboy boots,True,187,187,brown high-heeled boots,cowboy boots,Independence,4
6237869128,brown+high-heeled+boots,pair+brown+boots,brown high-heeled boots,a pair of brown boots,True,187,187,brown high-heeled boots,pair brown boots,Independence,4
6237869128,girl,young+woman,A girl,A young woman,True,18,18,girl,young woman,Alternation,0
2696951725,woman,girl,woman,a girl,True,122,122,woman,girl,Alternation,0
2696951725,woman,girl,a woman,a girl,True,122,122,woman,girl,Alternation,0
2216568822,helmeted+person,lady,This helmeted person,The lady,True,9,9,helmeted person,lady,Independence,4
23018702,young+pretty+blond+women,young+lady,Young pretty blond women,A young lady,True,81,81,young pretty blond women,young lady,Entailment1,1
157192048,street,city+street,the street,a city street,True,57,57,street,city street,Entailment1,1
157192048,street,sidewalk,the street,the sidewalk,True,57,57,street,sidewalk,Alternation,0
157192048,black+jacket,jacket,a black jacket,a jacket,True,22,22,black jacket,jacket,Entailment1,1
157192048,city+sidewalk,city,a city sidewalk,the city,True,57,57,city sidewalk,city,Entailment1,1
7674851814,village+homes,slum+village,a village of homes,a slum village,True,165,165,village homes,slum village,Independence,4
578274277,little+boy,boy,The little boy,a boy,True,77,77,little boy,boy,Entailment1,1
578274277,little+boy,boy,The little boy,A boy,True,77,77,little boy,boy,Entailment1,1
578274277,young+boy,little+child,a young boy,The little child,True,77,77,young boy,little child,Entailment1,1
2829169200,people,group+people,People,A group of people,True,31,31,people,group people,Entailment1,1
4324771398,unhappy+looking+child,bored-looking+girl,An unhappy looking child,A bored-looking girl,True,6,6,unhappy looking child,bored-looking girl,Independence,4
2888545025,granite+table,desk,a granite table,a desk,True,2,2,granite table,desk,Independence,4
2631290870,two+ladies,ladies,Two ladies,the ladies,True,27,27,two ladies,ladies,Entailment1,1
2631290870,teenage+girl,woman,a teenage girl,A woman,True,27,27,teenage girl,woman,Alternation,0
2631290870,small+puppy,puppies,a small puppy,puppies,True,-1,-1,small puppy,puppies,Entailment1,1
2631290870,puppies,small+puppy,puppies,a small puppy,True,-1,-1,puppies,small puppy,Entailment1,1
3339140382,three+person+sky+dive+team,three+skydivers,A three person sky dive team,Three skydivers,True,163,163,three person sky dive team,three skydivers,Entailment1,1
3339140382,three+skydivers,two+people,Three skydivers,Two people,True,163,163,three skydivers,two people,Alternation,0
3339140382,clouds,white+clouds,the clouds,white clouds,True,-1,-1,clouds,white clouds,Entailment1,1
124972799,wooden+bench,bench,a wooden bench,the bench,True,127,127,wooden bench,bench,Entailment1,1
124972799,wooden+bench,bench,a wooden bench,a bench,True,127,127,wooden bench,bench,Entailment1,1
124972799,bench,wooden+bench,the bench,wooden bench,True,127,127,bench,wooden bench,Entailment1,1
124972799,cat,hissing+cat,A cat,a hissing cat,True,142,-1,cat,hissing cat,Entailment1,1
124972799,wooden+bench,bench,wooden bench,a bench,True,127,127,wooden bench,bench,Entailment1,1
124972799,cat,hissing+cat,a cat,a hissing cat,True,142,-1,cat,hissing cat,Entailment1,1
2884252132,toddler,girl,a toddler,A girl,True,67,67,toddler,girl,Independence,4
2773400732,woman,girl,A woman,Girl,True,118,118,woman,girl,Alternation,0
2773400732,woman,girl,A woman,A girl,True,118,118,woman,girl,Alternation,0
2773400732,girl,woman,Girl,A woman,True,118,118,girl,woman,Alternation,0
2773400732,girl,woman,A girl,A woman,True,118,118,girl,woman,Alternation,0
5583327265,last+minute+holiday+shoppers,customers,last minute holiday shoppers,Customers,True,85,85,last minute holiday shoppers,customers,Entailment1,1
8094557250,beautiful+city+scenery,horizon,a beautiful city scenery,the horizon,True,-1,-1,beautiful city scenery,horizon,Independence,4
8094557250,body+water,water,a body of water,water,True,14,14,body water,water,Entailment1,1
246581414,skirt,red+skirt,a skirt,a red skirt,True,147,147,skirt,red skirt,Entailment1,1
246581414,two+girls,two+women,Two girls,Two women,True,2,2,two girls,two women,Alternation,0
459778335,adult+man,man,An adult man,a man,True,65,65,adult man,man,Equivalence,3
459778335,adult+man,man,An adult man,A man,True,65,65,adult man,man,Equivalence,3
459778335,father,fathers,A father,his fathers,True,65,65,father,fathers,Alternation,0
459778335,little+boy,boy,A little boy,a boy,True,-1,-1,little boy,boy,Entailment1,1
2925125303,otherwise+predominantly+asian+track+runners,marathon+runners,otherwise predominantly Asian track runners,A marathon of runners,True,151,151,otherwise predominantly asian track runners,marathon runners,Independence,4
4353792374,asian+woman,girl,One asian woman,A girl,True,115,115,one asian woman,girl,Alternation,0
4353792374,two+asian+woman,two+young+girls,Two Asian woman,Two young girls,True,115,115,two asian woman,two young girls,Alternation,0
4353792374,woman,girl,A woman,A girl,True,115,115,woman,girl,Alternation,0
2626553824,woman,women,a woman,women,True,180,180,woman,women,Equivalence,3
166774567,dark+blue+jacket,leather+coat,a dark blue jacket,a leather coat,True,-1,-1,dark blue jacket,leather coat,Independence,4
424268604,several+gears,gears,several gears,gears,True,85,85,several gears,gears,Entailment1,1
440375442,four+people,four+person,Four people,A four person,True,18,18,four people,four person,Equivalence,3
440375442,four+person,four+people,A four person,Four people,True,18,18,four person,four people,Equivalence,3
1764955991,dog,tan+white+dog,A dog,A tan and white dog,True,-1,-1,dog,tan white dog,Entailment1,1
1764955991,brown+white+dog,large+dog,A brown and white dog,A large dog,True,-1,-1,brown white dog,large dog,Independence,4
1764955991,tan+white+dog,brown+dog,A tan and white dog,A brown dog,True,-1,-1,tan white dog,brown dog,Entailment1,1
3384742888,tan+dog,rotweiler,tan dog,A rotweiler,True,54,54,tan dog,rotweiler,Independence,4
3384742888,tan+dog,dog,tan dog,Dog,True,54,54,tan dog,dog,Entailment1,1
3384742888,tan+dog,dog,tan dog,The dog,True,54,54,tan dog,dog,Entailment1,1
3384742888,tan+dog,dog,tan dog,A dog,True,54,54,tan dog,dog,Entailment1,1
5632141892,crowd+women,large+group+women,A crowd of women,A large group of women,True,117,117,crowd women,large group women,Equivalence,3
5632141892,group+indian+women,people,A group of indian women,People,True,126,126,group indian women,people,Entailment1,1
5632141892,large+group+women,group+women,A large group of women,A group of women,True,117,117,large group women,group women,Entailment1,1
2404747797,two+african-american+children,two+young+kids,Two African-American children,Two young kids,True,189,189,two african-american children,two young kids,Entailment1,1
2404747797,orange+water+ice,orange+ice+cream,orange water ice,orange ice cream,True,-1,-1,orange water ice,orange ice cream,Alternation,0
3503483247,woman,female,A woman,A female,True,198,198,woman,female,Entailment1,1
2514570594,younger+gentleman,young+cook,A younger gentleman,The young cook,True,92,92,younger gentleman,young cook,Independence,4
6838086484,man,two+men,A man,Two men,True,180,180,man,two men,Alternation,0
6838086484,man,two+men,Man,Two men,True,180,180,man,two men,Alternation,0
6838086484,two+men,two+wrestlers,Two men,Two wrestlers,True,180,180,two men,two wrestlers,Independence,4
2748281597,little+boy,boy,A little boy,A boy,True,28,28,little boy,boy,Entailment1,1
2748281597,wild+curly+hair,curly+blond-hair,wild curly hair,curly blond-hair,True,-1,-1,wild curly hair,curly blond-hair,Independence,4
8018915471,three+individuals,three+bmx+riders,Three individuals,Three BMX riders,True,80,80,three individuals,three bmx riders,Entailment1,1
8018915471,three+individuals,bmx+racers,Three individuals,BMX racers,True,80,80,three individuals,bmx racers,Independence,4
8018915471,three+people,three+bmx+riders,Three people,Three BMX riders,True,80,80,three people,three bmx riders,Entailment1,1
4704158670,woman,brunette,A woman,A brunette,True,168,168,woman,brunette,Independence,4
4704158670,brunette,woman,A brunette,A woman,True,168,168,brunette,woman,Independence,4
1265343716,girl,asian+woman,The girl,Asian woman,True,62,62,girl,asian woman,Alternation,0
1265343716,asian+woman,asian+girl,Asian woman,Asian girl,True,62,62,asian woman,asian girl,Alternation,0
1265343716,asian+woman,young+girl,Asian woman,A young girl,True,62,62,asian woman,young girl,Alternation,0
3374384485,person,man,A person,a man,True,-1,-1,person,man,Entailment1,1
3374384485,boy,man,A boy,a man,True,-1,-1,boy,man,Alternation,0
1195966967,man,another+man,a man,another man,True,193,-1,man,another man,Equivalence,3
1195966967,another+man,man,another man,a man,True,-1,193,another man,man,Equivalence,3
468608014,dog+toy,chew+toy,a dog toy,the same chew toy,True,104,104,dog toy,chew toy,Independence,4
4963263177,man,person,A man,A person,True,109,109,man,person,Entailment1,1
4963263177,man,boy,A man,A boy,True,109,109,man,boy,Alternation,0
4963263177,person,man,A person,A man,True,109,109,person,man,Entailment1,1
3032790880,two+soccer+players,guys,Two soccer players,The guys,True,150,150,two soccer players,guys,Independence,4
3032790880,two+soccer+players,guys,two soccer players,The guys,True,150,150,two soccer players,guys,Independence,4
4552688825,group+performers,group+musicians,A group of performers,A group of musicians,True,83,83,group performers,group musicians,Entailment1,1
4552688825,group+people,people,A group of people,people,True,73,73,group people,people,Entailment1,1
2308491551,three+glass+elevators,various+elevators,Three glass elevators,various elevators,True,75,75,three glass elevators,various elevators,Entailment1,1
4959460330,all,group+women,all,A group of women,True,63,63,all,group women,Entailment1,1
143237785,person,man,The person,A man,True,118,118,person,man,Entailment1,1
143237785,yellow+fish,large+fish,a yellow fish,a large fish,True,179,179,yellow fish,large fish,Independence,4
2305517013,person,man,A person,A man,True,198,198,person,man,Entailment1,1
2305517013,person,man,A person,Man,True,198,198,person,man,Entailment1,1
131624221,string+instrument,guitar,a string instrument,his guitar,True,171,171,string instrument,guitar,Entailment1,1
2699075714,baby,crying+infant,a baby,a crying infant,True,76,76,baby,crying infant,Entailment1,1
2699075714,crying+infant,baby,a crying infant,a baby,True,76,76,crying infant,baby,Entailment1,1
2596619849,grassy+field,rural+area,a grassy field,rural area,True,42,42,grassy field,rural area,Independence,4
4584450444,group+people,people,A group of people,People,True,37,37,group people,people,Entailment1,1
4584450444,group+people,people,A group of people,people,True,37,37,group people,people,Entailment1,1
4584450444,produce,groceries,all the produce,their groceries,True,86,86,all produce,groceries,Independence,4
365849741,crowd+people,crowd,a crowd of people,a crowd,True,10,10,crowd people,crowd,Equivalence,3
51146082,large+mushroom,mushroom,a large mushroom,a mushroom,True,-1,-1,large mushroom,mushroom,Entailment1,1
51146082,white+sweatshirt,sweatshirt,a white sweatshirt,sweatshirt,True,135,135,white sweatshirt,sweatshirt,Entailment1,1
4612764815,two+blond+woman,two+blond+girls,Two blond woman,Two blond girls,True,191,191,two blond woman,two blond girls,Alternation,0
4612764815,two+blond+girls,two+women,Two blond girls,Two women,True,191,191,two blond girls,two women,Alternation,0
69902502,wooden+floors,workshop,wooden floors,a workshop,True,195,195,wooden floors,workshop,Alternation,0
3082234248,rastafarian,man,A Rastafarian,A man,True,76,76,rastafarian,man,Independence,4
3021318991,athletic+girl,woman+hockey+player,An athletic girl,A woman hockey player,True,146,146,athletic girl,woman hockey player,Alternation,0
3021318991,woman+hockey+player,girl,A woman hockey player,A girl,True,146,146,woman hockey player,girl,Alternation,0
6887014959,face,cheek,his face,each cheek,True,-1,-1,face,each cheek,Entailment1,1
6887014959,two+young+girls,two+women,Two young girls,two women,True,71,71,two young girls,two women,Alternation,0
6887014959,two+women,two+girls,two women,two girls,True,71,71,two women,two girls,Alternation,0
6887014959,cheek,cheeks,each cheek,the cheeks,True,-1,-1,each cheek,cheeks,Equivalence,3
5519354264,unattended+double+stroller,stroller,an unattended double stroller,a stroller,True,34,34,unattended double stroller,stroller,Entailment1,1
3533713163,people,variety+people,people,A variety of people,True,126,126,people,variety people,Entailment1,1
3533713163,people,variety+people,People,A variety of people,True,126,126,people,variety people,Entailment1,1
3533713163,variety+people,people,A variety of people,People,True,126,126,variety people,people,Entailment1,1
226659133,woman,girl,the woman,a girl,True,3,-1,woman,girl,Alternation,0
226659133,girl,woman,a girl,a woman,True,-1,3,girl,woman,Alternation,0
2651455205,two+children,two+toddlers,Two children,Two toddlers,True,59,59,two children,two toddlers,Entailment1,1
3182405529,older+man,bearded+man,an older man,A bearded man,True,179,179,older man,bearded man,Independence,4
4692727092,pool,clean+water,a pool,clean water,True,4,4,pool,clean water,Independence,4
244774022,man,surfer,A man,A surfer,True,168,168,man,surfer,Independence,4
244774022,surfer,man,A surfer,Man,True,168,168,surfer,man,Independence,4
244774022,surfer,man,A surfer,A man,True,168,168,surfer,man,Independence,4
2531496753,long-sleeved+white+shirt,gray+sweater,a long-sleeved white shirt,a gray sweater,True,65,65,long-sleeved white shirt,gray sweater,Alternation,0
97731718,carriage,cart,the carriage,a cart,True,151,151,carriage,cart,Equivalence,3
2241665783,red+backpack,orange+backpack,a red backpack,an orange backpack,True,191,191,red backpack,orange backpack,Alternation,0
2241665783,little+boy,boy,A little boy,A boy,True,183,183,little boy,boy,Entailment1,1
2241665783,orange+backpack,red+backpack,an orange backpack,a red backpack,True,191,191,orange backpack,red backpack,Alternation,0
1409731198,group+people,people,A group of people,People,True,7,7,group people,people,Entailment1,1
1409731198,large+amount+people,people,A large amount of people,People,True,7,7,large amount people,people,Entailment1,1
2451253577,floating+boat,boat,a floating boat,a boat,True,7,7,floating boat,boat,Entailment1,1
129863111,baby,tiny+infant,a baby,tiny infant,True,171,171,baby,tiny infant,Entailment1,1
129863111,red+sweater,red+top,a red sweater,a red top,True,25,25,red sweater,red top,Entailment1,1
129863111,baby,tiny+infant,her baby,tiny infant,True,171,171,baby,tiny infant,Entailment1,1
129863111,tiny+infant,baby,tiny infant,a baby,True,171,171,tiny infant,baby,Entailment1,1
2463067409,large+gray+dog,large+dog,A large gray dog,A large dog,True,180,180,large gray dog,large dog,Entailment1,1
2463067409,ball,tennis+ball,a ball,a tennis ball,True,-1,-1,ball,tennis ball,Entailment1,1
2463067409,dog,black+dog,A dog,A black dog,True,180,180,dog,black dog,Entailment1,1
2363918218,man,person,A man,Person,True,-1,-1,man,person,Entailment1,1
111419142,several+young+people,many+people,Several young people,many people,True,14,14,several young people,many people,Entailment1,1
111419142,group+people,people,A group of people,People,True,14,14,group people,people,Entailment1,1
46982960,two+men,man,two men,man,True,125,125,two men,man,Alternation,0
5332049234,street+artist,man,A street artist,A man,True,144,144,street artist,man,Independence,4
5332049234,street+artist,man,A street artist,Man,True,144,144,street artist,man,Independence,4
5332049234,picture,new+piece,a picture,a new piece,True,-1,-1,picture,new piece,Independence,4
1445123245,colorful+caterpillar+toy,favorite+toy,a colorful caterpillar toy,his favorite toy,True,4,4,colorful caterpillar toy,favorite toy,Independence,4
1445123245,short+long-haired+dog,dog,A short long-haired dog,A dog,True,142,142,short long-haired dog,dog,Entailment1,1
1445123245,multicolored+stuffed+toy+centipede,multicolor+centipede+toy,a multicolored stuffed toy centipede,multicolor centipede toy,True,4,4,multicolored stuffed toy centipede,multicolor centipede toy,Entailment1,1
1445123245,multicolored+stuffed+toy+centipede,centipede+toy,a multicolored stuffed toy centipede,a centipede toy,True,4,4,multicolored stuffed toy centipede,centipede toy,Entailment1,1
4720926155,body+water,water,a body of water,the water,True,23,23,body water,water,Entailment1,1
3336831820,group+people,people,A group of people,People,True,118,118,group people,people,Entailment1,1
3336831820,people,group+people,People,A group of people,True,118,118,people,group people,Entailment1,1
1418019748,red+white+checkered+food,food+tray,a red and white checkered food,food tray,True,-1,-1,red white checkered food,food tray,Alternation,0
3425851292,tennis+player,man,a tennis player,A man,True,149,149,tennis player,man,Independence,4
3425851292,tennis+player,man,The tennis player,A man,True,149,149,tennis player,man,Independence,4
3425851292,tennis+player,man,A tennis player,A man,True,149,149,tennis player,man,Independence,4
4687713681,mountain+bike,bike,a mountain bike,her bike,True,76,76,mountain bike,bike,Entailment1,1
4687713681,mountain+bike,bike,a mountain bike,a bike,True,76,76,mountain bike,bike,Entailment1,1
4687713681,scantily+clad+young+woman,girl,A scantily clad young woman,A girl,True,118,118,scantily clad young woman,girl,Alternation,0
4687713681,young+woman,girl,A young woman,A girl,True,118,118,young woman,girl,Alternation,0
4687713681,woman,girl,A woman,A girl,True,118,118,woman,girl,Alternation,0
3178005751,man,boy,A man,A boy,True,101,101,man,boy,Alternation,0
3178005751,woman,girl,woman,girl,True,84,84,woman,girl,Alternation,0
3178005751,woman,girl,woman,A girl,True,84,84,woman,girl,Alternation,0
3178005751,boy,man,A boy,man,True,101,101,boy,man,Alternation,0
3178005751,girl,smiling+woman,girl,Smiling woman,True,84,84,girl,smiling woman,Alternation,0
3178005751,girl,smiling+woman,A girl,Smiling woman,True,84,84,girl,smiling woman,Alternation,0
4612831165,asian+bride,bride,Asian bride,A bride,True,117,117,asian bride,bride,Entailment1,1
4612831165,people,group+people,People,A group of people,True,157,157,people,group people,Entailment1,1
109608573,man,young+asian+boy,A man,A young Asian boy,True,-1,-1,man,young asian boy,Alternation,0
109608573,man,young+boy,A man,A young boy,True,-1,-1,man,young boy,Alternation,0
109608573,young+asian+boy,man,A young Asian boy,A man,True,-1,-1,young asian boy,man,Alternation,0
5258526958,three+people,three+children,Three people,Three children,True,61,61,three people,three children,Entailment1,1
5258526958,boy,little+boy,the boy,A little boy,True,65,65,boy,little boy,Entailment1,1
3187364311,brown+dog,shaggy+dog,a brown dog,a shaggy dog,True,176,176,brown dog,shaggy dog,Independence,4
3187364311,furry+dog,dog,a furry dog,her dog,True,176,176,furry dog,dog,Entailment1,1
7890007278,mountain+bike,bike,a mountain bike,a bike,True,192,192,mountain bike,bike,Entailment1,1
7890007278,mountain+bike,bike,his mountain bike,a bike,True,192,192,mountain bike,bike,Entailment1,1
476496952,man,boy,A man,A boy,True,-1,191,man,boy,Alternation,0
476496952,man,boy,A man,Boy,True,-1,191,man,boy,Alternation,0
476496952,boy,young+man,A boy,A young man,True,191,-1,boy,young man,Alternation,0
476496952,boy,young+man,Boy,A young man,True,191,-1,boy,young man,Alternation,0
3397220683,person,man,a person,The man,True,105,105,person,man,Entailment1,1
3397220683,person,man,a person,A man,True,105,105,person,man,Entailment1,1
3397220683,man,person,The man,Person,True,105,105,man,person,Entailment1,1
3397220683,man,person,The man,A person,True,105,105,man,person,Entailment1,1
3397220683,person,man,Person,A man,True,105,105,person,man,Entailment1,1
3397220683,person,man,A person,A man,True,105,105,person,man,Entailment1,1
1937104503,black+dog,dog,a black dog,A dog,True,85,85,black dog,dog,Entailment1,1
2318721455,bed,couch,a bed,a couch,True,78,78,bed,couch,Alternation,0
2318721455,couch,bed,a couch,his bed,True,78,78,couch,bed,Alternation,0
2318721455,couch,bed,a couch,a bed,True,78,78,couch,bed,Alternation,0
149042906,two+barefoot+young+african+boys,two+little+black+boys,Two barefoot young African boys,Two little black boys,True,170,170,two barefoot young african boys,two little black boys,Entailment1,1
149042906,water+bottles,plastic+bottles,water bottles,plastic bottles,True,-1,-1,water bottles,plastic bottles,Independence,4
149042906,plastic+bottles,water+bottles,plastic bottles,water bottles,True,-1,-1,plastic bottles,water bottles,Independence,4
2332186035,large+ad,advertisement,the large ad,an advertisement,True,83,83,large ad,advertisement,Entailment1,1
4887607422,concrete+ledge,concrete+wall,a concrete ledge,a concrete wall,True,10,10,concrete ledge,concrete wall,Independence,4
4887607422,bushes,shrubbery,the bushes,shrubbery,True,3,3,bushes,shrubbery,Equivalence,3
980090465,people,group+people,people,A group of people,True,17,17,people,group people,Entailment1,1
980090465,people,large+amount+people,people,a large amount of people,True,17,17,people,large amount people,Entailment1,1
980090465,group+people,people,A group of people,People,True,17,17,group people,people,Entailment1,1
980090465,large+amount+people,people,a large amount of people,People,True,17,17,large amount people,people,Entailment1,1
3027255100,pianist,man,a pianist,A man,True,47,47,pianist,man,Independence,4
2380740486,little+girl,woman,A little girl,A woman,True,-1,-1,little girl,woman,Alternation,0
2380740486,girl,woman,Girl,A woman,True,197,-1,girl,woman,Alternation,0
2380740486,girl,woman,A girl,A woman,True,197,-1,girl,woman,Alternation,0
226310412,shirtless+tanned+male,man,A shirtless tanned male,A man,True,128,128,shirtless tanned male,man,Entailment1,1
39490282,shirtless+man,shirtless+guy,A shirtless man,A shirtless guy,True,188,188,shirtless man,shirtless guy,Equivalence,3
39490282,shirtless+guy,man,A shirtless guy,A man,True,188,188,shirtless guy,man,Entailment1,1
4563544127,busy+street,street,a busy street,the street,True,53,53,busy street,street,Entailment1,1
4563544127,man,male,A man,A male,True,-1,-1,man,male,Equivalence,3
5732433781,person,another+person,One person,another person,True,149,149,one person,another person,Equivalence,3
3860415767,red+white+scarf,headdress,a red and white scarf,a headdress,True,-1,-1,red white scarf,headdress,Independence,4
2162469360,man,another+man,A man,another man,True,141,5,man,another man,Equivalence,3
3254662117,two+young+men,two+long-haired+boys,Two young men,Two long-haired boys,True,149,149,two young men,two long-haired boys,Alternation,0
3254662117,two+young+men,two+teenage+boys,Two young men,Two teenage boys,True,149,149,two young men,two teenage boys,Alternation,0
3254662117,two+long-haired+boys,two+young+men,Two long-haired boys,Two young men,True,149,149,two long-haired boys,two young men,Alternation,0
3254662117,two+teenage+boys,two+young+men,Two teenage boys,Two young men,True,149,149,two teenage boys,two young men,Alternation,0
2537603442,man,person,A man,A person,True,196,196,man,person,Entailment1,1
4697182982,group+women,group+girls,A group of women,A group of girls,True,12,12,group women,group girls,Alternation,0
4697182982,group+girls,women,A group of girls,Women,True,12,12,group girls,women,Alternation,0
4697182982,group+girls,group+women,A group of girls,A group of women,True,12,12,group girls,group women,Alternation,0
4089379359,game,traditional+game+chess,a game,their traditional game of chess,True,33,33,game,traditional game chess,Entailment1,1
4089379359,three+men,men,Three men,Men,True,38,38,three men,men,Entailment1,1
4089379359,game,board+game,a game,a board game,True,33,33,game,board game,Entailment1,1
4089379359,traditional+game+chess,game,their traditional game of chess,a game,True,33,33,traditional game chess,game,Entailment1,1
4089379359,board+game,game,a board game,a game,True,33,33,board game,game,Entailment1,1
4623003058,black,black+pea+coat,black,a black pea coat,True,73,73,black,black pea coat,Independence,4
2824401212,woman,girl,The woman,A girl,True,190,190,woman,girl,Alternation,0
2824401212,woman,another+girl,the woman,another girl,True,190,134,woman,another girl,Alternation,0
2824401212,girl,woman,A girl,A woman,True,190,190,girl,woman,Alternation,0
3760010229,aging+man,old+man,An aging man,An old man,True,194,194,aging man,old man,Equivalence,3
3760010229,skull,skulls,a skull,skulls,True,198,198,skull,skulls,Equivalence,3
3760010229,bearded+man,older+man,A bearded man,A older man,True,194,194,bearded man,older man,Independence,4
3411393875,woman,girl,the woman,a girl,True,120,-1,woman,girl,Alternation,0
3411393875,girl,woman,a girl,a woman,True,-1,120,girl,woman,Alternation,0
3222250187,boy,man,A boy,A man,True,107,107,boy,man,Alternation,0
3222250187,ball,beach+volleyball,ball,a beach volleyball,True,1,1,ball,beach volleyball,Entailment1,1
3222250187,boy,young+men,A boy,Young men,True,107,107,boy,young men,Alternation,0
3222250187,beach+volleyball,ball,a beach volleyball,a ball,True,1,1,beach volleyball,ball,Entailment1,1
4811949932,statue+large+globe,large+globe,a statue of a large globe,a large globe,True,-1,-1,statue large globe,large globe,Entailment1,1
6966309732,man,opposing+teammate,one man,an opposing teammate,True,141,141,one man,opposing teammate,Independence,4
3756255312,two+girls,two+woman,two girls,Two woman,True,57,57,two girls,two woman,Alternation,0
3756255312,two+dancers,two+female+dancers,Two dancers,Two female dancers,True,57,57,two dancers,two female dancers,Entailment1,1
3469585782,crowd+people,crowd,A crowd of people,a crowd,True,32,32,crowd people,crowd,Equivalence,3
3334537556,people,group+people,People,A group of people,True,182,180,people,group people,Entailment1,1
4852389235,dramatic+row+statues,statues,a dramatic row of statues,statues,True,-1,-1,dramatic row statues,statues,Entailment1,1
539493431,black+stick,fire+baton,a black stick,a fire baton,True,-1,-1,black stick,fire baton,Independence,4
3672944692,mountain,desert,a mountain,a desert,True,6,6,mountain,desert,Alternation,0
1577667570,public+toilets,toilets,the public toilets,the toilets,True,134,134,public toilets,toilets,Entailment1,1
